pred_col,train_cols,strategy,sector,MAE,RMSE,mean,std,min,25 pct.,50 pct.,75 pct.,max,n_estimators,learning_rate,max_depth,min_child_weight,colsample_bytree
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, Selic, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052359,0.071615,0.05235858451816745,0.048898375380938164,0.0,0.016589,0.040255,0.072091,0.268248,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, Selic, IPCA, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051837,0.071412,0.05183736492890995,0.0491563656247556,0.0,0.016043,0.039627,0.071551,0.276569,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, Selic, IPCA, IGPM",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052688,0.072087,0.05268781042654028,0.049238136963645505,0.0,0.016056,0.039733,0.075139,0.278309,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051604,0.070752,0.05160368404423381,0.04844159684323793,0.0,0.016661,0.037797,0.071782,0.265068,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, IPCA, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051355,0.070808,0.05135521800947867,0.04878716411479344,0.0,0.016377,0.035507,0.069855,0.290155,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, IPCA, IGPM",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051376,0.070766,0.051376134281200636,0.04870432844564349,0.0,0.016364,0.03677,0.071222,0.290456,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052397,0.071382,0.0523972654028436,0.048514663057061515,0.0,0.017299,0.039184,0.07219,0.294711,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IGPM",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052659,0.071404,0.05265880568720378,0.048261955647284686,0.0,0.018449,0.03925,0.072981,0.299397,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendYieldChange, SectorDividendsChangeMean, SectorCloseChangeMean, Selic, IPCA",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052286,0.071494,0.05228624644549763,0.048799118708638595,0.0,0.01782,0.038152,0.072118,0.289513,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendsChange, Selic, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.052014,0.071008,0.052014470774091624,0.04837731953758853,0.0,0.017407,0.038772,0.070197,0.251078,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendsChange, SectorCloseChangeMean, IPCA, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.050047,0.069699,0.050047391785150074,0.04854760015638634,0.0,0.015154,0.035481,0.068519,0.264066,4000,0.1,6,1,0.4
CloseChange,"CloseChange, DividendsChange, SectorCloseChangeMean, Selic, IGPM, IFIX",Xgboost,"Titulos e Val. Mob., Lajes Corporativas, Logistica, Hibrido, Outros, Shoppings, Residencial, Hotel, Hospital",0.051153,0.070666,0.051153289099526066,0.04879321169807785,0.0,0.016759,0.037696,0.070084,0.269667,4000,0.1,6,1,0.4
